pattern_id,category,trigger_regex,default_status,decision_test,action,reason,false_positive_guard,official_basis,machine_note
OUT11,高级热力学,化学势|偏摩尔量|逸度|逸度系数|Maxwell关系|麦克斯韦关系,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学热力学,焓变、熵变定性、反应方向和盖斯定律仍在选必1,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT12,高级热力学,"ΔG.{0,6}RT\s*ln\s*K|吉布斯自由能.{0,10}(定量推导|系统计算)|标准生成吉布斯",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；若完整给公式可CTX-IN,课标只要求焓熵与方向的定性认识，不建立大学热力学计算体系,题给公式且只代数处理不自动删除,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT13,高级热力学,"van.?t\s*Hoff.{0,10}(方程|推导)|克劳修斯.?克拉佩龙|Clausius.?Clapeyron",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给公式可CTX-IN,大学热力学公式不作必背,题干提供完整模型时按CTX09复核,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT14,高级动力学,"Arrhenius.{0,10}(推导|作图法|系统计算)|阿伦尼乌斯.{0,10}(推导|作图法|系统计算)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给公式可CTX-IN,不把阿伦尼乌斯方程建成学生必背体系,活化能、催化剂与能垒图仍在选必1,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT15,高级动力学,反应级数|积分速率方程|速率常数单位推导|一级反应半衰期|二级反应半衰期,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学动力学定量体系,平均速率、影响因素、速率图像仍在范围内,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT16,高级动力学,"稳态近似|预平衡近似|过渡态理论|碰撞理论.{0,8}定量",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学反应机理方法,题干给简单历程并要求能垒/催化判断可保留,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT17,高级溶液,活度系数|离子强度|Debye.?H[uü]ckel|德拜.?休克尔|溶剂化自由能,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学物理化学溶液模型,浓度、Ka、Kw、Ksp及课标内近似仍在范围内,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT18,高级酸碱,"Henderson.?Hasselbalch.{0,8}(推导|必背|系统)|缓冲容量|缓冲指数",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给公式可CTX-IN,不建立大学缓冲溶液公式体系,简单酸碱平衡、pH、盐水解和滴定仍在选必1,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT19,高级分析,"分布分数.{0,10}(高阶|系统|精确)|副反应系数|条件稳定常数|EDTA.{0,8}(络合滴定|滴定曲线)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学分析化学平衡与滴定体系,题给分布曲线读取仍可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT20,高级电化学,"Nernst.{0,10}(推导|必背|系统计算)|能斯特.{0,10}(推导|必背|系统计算)|标准电极电势表.{0,8}(背诵|系统计算)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给公式/数据可CTX-IN,课标不要求建立电极电势定量体系,电极反应、电子守恒、电池与电解仍在选必1,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT21,高级电化学,浓差电池|电化学势|液接电势|循环伏安|极谱法,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学电化学,新型电池给足信息可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT22,高级有机机理,弯箭机理|曲箭机理|SN1|SN2|E1反应|E2反应|亲核取代机理|亲电加成机理,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,课标要求反应类型与官能团转化，不要求系统机理箭推,题干给出机理步骤只要求信息提取可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT23,高级有机机理,碳正离子重排|氢负离子迁移|甲基迁移|过氧化物效应|反马氏规则,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,竞赛/大学有机机理与特殊规则,一般加成、取代、消去、氧化还原在选必3,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT24,高级立体化学,CIP规则|R/S命名|E/Z命名|绝对构型|对映体过量|ee值,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,系统立体化学命名与定量超纲,顺反/手性现象的识别仍在选必2/3,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT25,高级立体化学,"Newman投影|纽曼投影|Fischer投影.{0,6}(构型|转换)|构象分析|环己烷椅式构象",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学有机构象与投影体系,简单分子空间结构、构造/立体异构现象仍在范围内,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT26,高级有机合成,格氏试剂|Grignard|Wittig|维蒂希|Diels.?Alder|狄尔斯.?阿尔德|Friedel.?Crafts|傅克反应,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,默认排除；题给新反应可CTX-IN,不要求记忆大学命名反应,若题干完整给反应规则且仅作迁移，则保留为CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT27,高级波谱,"核磁.{0,8}(裂分|耦合常数|二维谱|COSY|HSQC|HMBC)|NMR.{0,8}(splitting|coupling|2D)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,专业核磁解析,简单氢谱峰数/面积或题给信息推断仍在选必3,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT28,高级波谱,"质谱碎片.{0,8}(机理|裂解)|红外峰位.{0,8}(精确归属|系统背诵)|拉曼选择定则",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,专业仪器分析,质谱分子离子峰、红外官能团信息的简单识别仍可保留,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT29,高级有机理论,Woodward.?Hoffmann|伍德沃德.?霍夫曼|周环反应|前线分子轨道,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学有机与轨道对称性,无,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT30,冷僻无机,"连硫酸盐|过二硫酸.{0,6}(机理|全系列)|多卤离子.{0,8}系统|稀有气体化合物.{0,8}反应网络",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给信息可CTX-IN,冷僻物种不作必背事实网络,陌生物种可作为信息载体,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT31,高级无机理论,HSAB|软硬酸碱|Jahn.?Teller|姜.?泰勒|电子计数规则,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学无机化学理论,高中酸碱、电离、配位基础不受影响,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT32,物理化学扩展,"Raoult|拉乌尔定律|Henry定律|亨利定律|依数性|沸点升高|凝固点降低|渗透压.{0,8}定量",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除；题给公式可CTX-IN,不属于现行高中化学主干,生活情境或题给模型可作信息迁移,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT33,核化学,"放射性衰变动力学|半衰期公式|核反应方程|裂变链式反应.{0,6}计算|聚变能.{0,6}计算",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,高中化学只涉及核素等基础概念，不建立核化学计算体系,仅作科技情境且无需核化学知识可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT34,高级分离分析,理论塔板数|范第姆特方程|Van\s*Deemter|色谱保留指数|色谱分离度,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学仪器分析/化工原理,高中萃取、分液、蒸馏、色谱的常识性情境可保留,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT35,统计与误差,"t检验|F检验|置信区间.{0,8}化学分析|误差传播公式|有效数字.{0,6}统计检验",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学分析误差统计,高中实验误差方向、控制变量和证据评价仍在范围内,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT36,生物化学扩展,"Michaelis.?Menten|米氏方程|Lineweaver.?Burk|糖酵解途径|三羧酸循环|电子传递链.{0,8}机理",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学生物化学,糖、脂、蛋白质、核酸结构与性质的课标要求仍在选必3,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT37,计算化学,密度泛函|DFT计算|Hartree.?Fock|哈特里.?福克|从头算|量子化学计算,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,大学计算化学,计算结果作为题给数据可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT38,来源风险,化学奥赛|化学竞赛|强基拔尖|大学先修|大学化学,REVIEW,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,逐题复核，不因标题直接判OUT,高风险来源中常混入超纲理论,标题不是删除充分条件；能映射到课标节点的题仍保留,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT39,实验安全,"无防护制备.{0,10}(剧毒|爆炸性|自燃)|中学条件不可实施|高压釜.{0,8}学生实验",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,从学生实验库排除,不符合中学实验安全与可实施性,可作为文字情境，但不得设计成学生实际操作,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT40,工业百科,"必须背诵.{0,12}(工业温度|工业压力|催化剂配方)|精确工业参数.{0,8}默写",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除死记要求,课标强调条件评价而非冷僻参数百科,题干给参数并要求速率—平衡—能耗评价可保留,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
